tier,word,synonyms,antonyms,source
Easy,achieve,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
Easy,active,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
Easy,ancient,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
Easy,answer,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
Easy,appear,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
Easy,arrive,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
Easy,assist,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
Easy,attempt,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
Easy,avoid,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
Easy,believe,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
Easy,careful,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
Easy,certain,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
Easy,choice,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
Easy,common,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
Easy,compare,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
Easy,complete,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
Easy,correct,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
Easy,decide,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
Easy,describe,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
Easy,develop,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
Easy,different,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
Easy,discover,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
Easy,early,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
Easy,effect,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
Easy,effort,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
Easy,energy,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
Easy,enjoy,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
Easy,example,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
Easy,explain,similar; related; comparable,opposite; different; contrasting,Bond/GL/11+ merged
